dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1660280400,1,323.77,0.14,26.05,15.38,5.13,5.72,6.52,0.4
1660284000,1,283.72,0.01,18.68,25.75,4.95,5.04,5.61,0.22
1660287600,1,250.34,0,14.05,33.62,5.9,4.63,5.12,0.12
1660291200,1,250.34,0,15.08,29.68,6.85,5.11,5.69,0.1
1660294800,1,253.68,0.01,16.62,25.39,6.79,5.7,6.35,0.11
1660298400,1,257.02,0.02,17.65,21.28,5.84,6.27,6.96,0.15
1660302000,1,267.03,0.08,19.36,16.09,4.89,6.86,7.66,0.23
1660305600,1,307.08,1.19,26.39,6.44,4.23,7.97,8.98,0.49
1660309200,1,377.18,9.95,29.47,3.26,3.93,9.39,10.65,0.8
1660312800,1,407.22,14.53,29.47,12.16,4.23,9.87,11.25,0.82
1660316400,1,363.83,7.93,27.76,32.54,4.95,8.72,10,0.66
1660320000,1,247,1.36,13.71,59.37,4.71,6.42,7.05,0.06
1660323600,1,220.3,0.96,9.25,79.39,4.83,5.88,6.36,0.02
1660327200,2,213.62,0.69,6.68,117.3,5.6,6.63,7.09,0
1660330800,3,223.64,0.5,5.83,157.36,7.03,8.83,9.3,0
1660334400,4,236.99,0.45,6.94,185.97,9.42,11.51,11.99,0
1660338000,4,243.66,0.44,8.23,183.11,10.37,12.07,12.51,0
1660341600,3,250.34,0.47,10.02,155.93,9.18,10.37,10.78,0.09
1660345200,3,250.34,0.5,12.68,130.18,8.7,9.03,9.44,0.16
1660348800,2,247,0.32,14.74,111.58,8.82,8.52,8.96,0.16
1660352400,2,243.66,0.06,18.16,90.12,9.89,8.18,8.72,0.25
1660356000,1,250.34,0,22.62,67.23,12.28,8.21,8.89,0.39
1660359600,1,257.02,0,28.1,49.35,13.95,8.73,9.5,0.44
1660363200,1,260.35,0,35.3,33.62,12.76,8.77,9.61,0.42
1660366800,1,253.68,0.02,38.39,23.25,9.89,8.03,8.9,0.35
1660370400,1,236.99,0.01,34.27,21.1,7.57,7.34,8.22,0.28
1660374000,1,223.64,0.01,29.13,21.99,6.02,7.14,8.05,0.25
1660377600,1,211.95,0,21.76,25.03,4.05,6.81,7.69,0.19
1660381200,1,200.27,0,13.54,28.61,2.56,6.43,7.13,0.15
1660384800,1,191.93,0,8.65,27.89,1.86,6.29,6.79,0.14
1660388400,1,190.26,0.01,7.97,22.89,1.8,6.15,6.58,0.16
1660392000,1,203.61,0.09,11.31,16.45,2.03,6.22,6.76,0.26
1660395600,1,226.97,0.81,14.22,16.81,2.41,6.77,7.44,0.34
1660399200,1,236.99,1.98,12.85,34.69,2.77,7.5,8.22,0.38
1660402800,1,233.65,1.45,9.85,67.23,3.37,8.47,9.17,0.34
1660406400,2,216.96,0.46,4.28,91.55,2.65,7.22,7.57,0
1660410000,2,220.3,0.33,3.34,95.84,2.41,7.38,7.67,0
1660413600,2,220.3,0.28,3,94.41,2.24,6.88,7.15,0.02
1660417200,2,213.62,0.27,3.04,85.12,2.18,4.93,5.14,0.14
1660420800,2,213.62,0.3,4.33,81.54,2.95,4.24,4.42,0.27
1660424400,2,220.3,0.33,6.68,85.12,4.05,4.37,4.53,0.37
1660428000,1,226.97,0.48,9.51,77.96,4.95,4.18,4.31,0.43
1660431600,1,230.31,0.47,11.31,45.78,4.89,3.3,3.43,0.49
1660435200,1,226.97,0.23,10.37,28.97,4.29,2.44,2.58,0.47
1660438800,1,220.3,0.03,10.2,26.46,4.77,2.03,2.28,0.46
1660442400,1,208.62,0.01,11.82,24.32,6.26,1.96,2.38,0.39
1660446000,1,201.94,0.02,13.54,22.17,6.91,2.14,2.69,0.31
1660449600,1,200.27,0.04,15.08,19.31,7.33,2.26,2.89,0.24
1660453200,1,198.6,0.04,15.42,17.17,7.27,2.43,3.06,0.21
1660456800,1,196.93,0.04,14.74,15.74,7.15,2.55,3.16,0.18
1660460400,1,196.93,0.05,14.57,13.41,6.97,2.7,3.27,0.14
1660464000,1,198.6,0.1,14.74,10.46,6.62,2.91,3.46,0.1
1660467600,1,196.93,0.14,14.74,8.94,6.44,3.13,3.68,0.09
1660471200,1,193.6,0.19,15.08,8.05,6.14,3.34,4.03,0.09
1660474800,1,195.26,0.32,15.42,7.15,5.78,3.49,4.37,0.13
1660478400,1,216.96,1.38,17.82,3.89,5.07,3.41,4.52,0.3
1660482000,1,260.35,5.42,19.88,1.08,4.71,3.24,4.57,0.53
1660485600,1,287.06,7.38,19.88,1.63,4.35,2.95,4.38,0.7
1660489200,1,267.03,3.38,18.34,5.81,3.87,2.52,3.72,0.78
1660492800,1,206.95,0.27,6.85,23.6,2.32,1.84,2.29,0.36
1660496400,1,191.93,0.25,4.63,30.76,2,2.23,2.49,0.25
1660500000,1,186.92,0.31,3.9,37.91,1.94,2.7,2.92,0.23
1660503600,1,181.91,0.3,3.21,42.56,1.65,2.7,2.91,0.2
1660507200,1,180.24,0.22,3.34,42.2,1.64,2.59,2.82,0.2
1660510800,1,181.91,0.18,3.73,40.77,1.77,2.48,2.72,0.25
1660514400,1,183.58,0.17,4.63,38.62,1.85,2.43,2.72,0.33
1660518000,1,185.25,0.15,5.65,36.12,1.86,2.4,2.79,0.39
1660521600,1,181.91,0.07,5.65,34.69,1.67,2.39,2.96,0.37
1660525200,1,185.25,0.01,6.77,32.54,2.03,2.62,3.6,0.44
1660528800,1,188.59,0,8.05,29.68,2.44,3.04,4.87,0.48
1660532400,1,191.93,0.01,8.91,28.25,2.59,3.6,6.56,0.46
1660536000,1,198.6,0.01,10.71,25.75,2.8,4.15,7.94,0.41
1660539600,1,203.61,0.02,12.34,22.35,2.92,4.45,8.5,0.33
1660543200,1,203.61,0.03,13.54,19.49,3.25,4.77,8.84,0.27
1660546800,1,203.61,0.06,14.22,16.09,3.22,5.2,9.37,0.23
1660550400,1,203.61,0.13,14.57,12.34,3.01,5.77,10.22,0.2
1660554000,1,201.94,0.22,14.57,9.66,3.07,6.5,11.5,0.19
1660557600,1,203.61,0.44,15.25,7.15,3.16,7.29,12.95,0.2
1660561200,1,216.96,1.23,17.31,4.02,3.37,8.24,14.35,0.25
1660564800,1,273.7,8.38,20.91,0.45,3.73,9.51,16.07,0.55
1660568400,2,380.52,25.7,22.28,0.78,4.53,10.97,17.82,0.89
1660572000,2,447.27,37.55,22.28,4.16,5.54,11.56,18.5,1.11
1660575600,2,420.57,28.61,26.39,14.48,7.27,11.35,18.42,1.09
1660579200,1,216.96,3.05,10.88,60.08,6.5,9.37,16.64,0
1660582800,2,200.27,1.19,6.43,82.97,5.66,8.45,14.85,0
1660586400,2,196.93,0.71,4.8,98.71,5.72,7.75,13.68,0
1660590000,2,193.6,0.52,4.03,107.29,5.25,6.53,11.77,0
1660593600,2,188.59,0.48,4.07,103,4.65,4.82,9.01,0.01
1660597200,2,183.58,0.49,4.5,94.41,4.35,3.54,7.02,0.1
1660600800,2,183.58,0.59,5.18,87.98,4.11,2.71,5.7,0.23
1660604400,2,186.92,0.72,5.83,82.25,3.93,2.33,5.16,0.33
1660608000,1,185.25,0.64,6.17,67.95,3.4,1.94,4.77,0.36
1660611600,1,191.93,0.21,9.17,48.64,3.78,1.81,4.73,0.48
1660615200,1,201.94,0,11.82,33.62,4.23,1.85,4.96,0.62
1660618800,1,206.95,0.02,13.02,25.39,3.99,1.94,5.17,0.71
1660622400,1,216.96,0.07,15.08,18.78,3.64,2.1,5.38,0.73
1660626000,1,223.64,0.13,15.77,13.77,2.95,2.17,5.46,0.64
1660629600,1,220.3,0.11,13.71,12.52,2.18,2.09,5.34,0.51
1660633200,1,208.62,0.08,10.97,13.23,2.47,2.13,5.38,0.39
1660636800,1,201.94,0.08,10.11,13.23,3.16,2.5,5.81,0.29
1660640400,1,198.6,0.09,10.45,12.34,3.37,2.93,6.43,0.23
1660644000,1,201.94,0.23,11.82,9.39,3.04,3.33,7.03,0.21
1660647600,1,216.96,1.29,14.91,3.71,2.59,3.73,7.61,0.28
1660651200,1,290.39,11.4,17.31,0.17,2.41,4.65,9.02,0.66
1660654800,1,440.6,35.32,17.82,0.22,2.68,6.14,11.22,1.22
1660658400,1,554.08,54.54,17.99,1.39,2.95,7.19,12.88,1.57
1660662000,1,554.08,49.17,22.28,5.45,3.73,7.25,13.37,1.63
1660665600,1,257.02,4.02,14.91,43.27,5.96,5.04,9.76,0.22
1660669200,1,226.97,1.27,8.23,78.68,4.35,4.37,8.19,0.19
1660672800,2,223.64,0.61,5.1,110.15,3.76,5.1,8.62,0.21
1660676400,2,216.96,0.45,3.98,118.73,3.16,5.46,8.68,0.22
1660680000,2,210.29,0.4,3.73,107.29,2.86,4.76,7.47,0.19
1660683600,2,203.61,0.37,3.77,94.41,2.89,4.33,6.68,0.13
1660687200,1,201.94,0.4,4.58,78.68,2.68,4.19,6.19,0.1
1660690800,1,200.27,0.37,6,61.51,2.26,4.51,6.41,0.08
1660694400,1,196.93,0.14,6.34,48.64,1.8,5.11,7.18,0.04
1660698000,1,205.28,0.03,8.57,40.77,2.21,6.15,9.03,0.13
1660701600,1,213.62,0,10.54,33.97,2.44,7.21,11,0.31
1660705200,1,216.96,0.01,11.31,28.61,2.21,7.34,11.42,0.48
1660708800,1,216.96,0.02,11.65,23.6,2.29,6.92,11,0.55
1660712400,1,211.95,0.03,10.62,20.56,2.62,6.17,10.09,0.49
1660716000,1,203.61,0.03,9.6,19.31,3.64,5.49,9.29,0.44
1660719600,1,198.6,0.02,8.91,18.95,4.29,5.15,8.93,0.37
1660723200,1,196.93,0.03,8.4,18.06,4.11,5.04,8.84,0.32
1660726800,1,196.93,0.04,8.48,16.99,3.73,5.07,8.84,0.3
1660730400,1,201.94,0.12,9.85,13.41,2.98,5.26,9.07,0.27
1660734000,1,220.3,0.71,13.71,6.88,2.35,5.65,9.6,0.32
1660737600,1,300.41,9.28,19.19,0.6,2.26,6.7,11.17,0.78
1660741200,1,453.95,32.19,21.59,0.24,2.5,8.37,13.58,1.44
1660744800,1,534.06,42.92,22.28,1.88,2.89,9.17,14.84,1.5
1660748400,1,440.6,26.15,22.28,10.1,3.61,8.4,14.16,1.35
1660752000,1,240.33,2.74,10.37,38.98,2.89,5.73,10.18,0.53
1660755600,1,216.96,1.2,7.2,59.37,2.5,5.13,8.98,0.48
1660759200,2,213.62,0.7,5.83,80.11,2.5,5.17,8.75,0.52
1660762800,2,201.94,0.53,5.06,82.97,2.21,4.32,7.2,0.5
1660766400,2,196.93,0.54,4.63,87.98,2.09,3.86,6.26,0.51
1660770000,2,200.27,0.57,4.88,108.72,3.43,4.55,6.99,0.48
1660773600,3,205.28,0.63,6,124.45,6.74,5.79,8.36,0.39
1660777200,2,203.61,0.7,7.45,103,9.18,5.46,7.56,0.37
1660780800,1,191.93,0.71,8.57,57.94,8.11,4.38,5.89,0.39
1660784400,1,188.59,0.22,10.97,30.4,6.97,3.67,5.39,0.46
1660788000,1,190.26,0.01,11.82,23.25,6.32,3.44,5.4,0.56
1660791600,1,191.93,0.03,11.65,20.56,5.84,3.79,6.04,0.55
1660795200,1,193.6,0.04,11.82,18.95,5.54,4.27,7.27,0.47
1660798800,1,190.26,0.03,11.14,19.13,5.48,4.53,8.64,0.38
1660802400,1,185.25,0.02,10.2,19.67,5.48,4.72,9.73,0.32
1660806000,1,178.58,0.02,9,20.03,4.83,4.77,9.7,0.29
1660809600,1,175.24,0.02,8.23,19.67,4.17,4.74,9,0.3
1660813200,1,176.91,0.02,8.14,19.13,3.81,4.69,8.15,0.32
1660816800,1,178.58,0.03,8.4,18.6,3.64,4.44,7.27,0.34
1660820400,1,183.58,0.04,8.91,18.24,3.34,4.05,6.49,0.39
1660824000,1,200.27,0.15,12.17,15.74,2.98,3.81,6.15,0.51
1660827600,1,230.31,1.06,17.14,11.44,2.89,4.04,6.53,0.72
1660831200,1,247,3.86,14.74,15.2,2.98,4.48,7.11,0.89
1660834800,1,240.33,3.97,11.14,28.61,3.01,4.69,7.19,0.94
1660838400,1,205.28,0.88,7.11,44.7,1.89,3.24,4.92,0.66
1660842000,1,193.6,0.47,6.25,48.64,1.79,2.49,3.88,0.62
1660845600,1,193.6,0.42,6.43,52.21,1.94,2.34,3.68,0.67
1660849200,1,188.59,0.27,5.91,54.36,1.76,1.86,2.94,0.62
1660852800,1,186.92,0.18,6.08,55.07,1.74,1.66,2.56,0.59
1660856400,1,193.6,0.11,7.54,57.22,2.5,1.89,2.79,0.64
1660860000,1,220.3,0.06,14.74,55.79,5.13,2.57,3.52,0.82
1660863600,1,257.02,0.1,25.02,48.64,8.94,3.66,4.64,0.93
1660867200,1,270.37,0.11,27.76,38.98,11.09,4.54,5.36,0.68
1660870800,1,277.04,0.06,27.42,25.39,10.25,4.74,5.48,0.43
1660874400,1,290.39,0.1,28.79,15.02,8.58,4.78,5.63,0.41
1660878000,1,297.07,0.25,26.39,10.64,5.36,4.39,5.32,0.46
1660881600,1,283.72,0.35,21.25,9.3,3.31,3.75,4.64,0.45
1660885200,1,267.03,0.33,17.14,8.31,3.34,3.5,4.26,0.32
1660888800,1,247,0.25,14.91,7.87,5.07,3.82,4.45,0.19
1660892400,1,230.31,0.31,13.54,6.62,5.66,4.72,5.33,0.1
1660896000,1,220.3,0.57,12,4.47,3.99,5.02,5.75,0.15
1660899600,1,216.96,1.06,10.71,2.44,2.83,4.8,5.7,0.23
1660903200,1,220.3,2.57,10.54,0.75,2.62,4.81,5.91,0.3
1660906800,1,243.66,7.26,10.45,0.05,2.86,5.48,6.86,0.41
1660910400,1,330.45,21.23,11.65,0,3.16,7.31,9.26,0.85
1660914000,1,480.65,45.15,13.88,0.21,3.52,9.95,12.53,1.38
1660917600,2,574.11,60.8,16.11,0.88,4.53,11.49,14.5,1.39
1660921200,2,527.38,51.86,20.73,1.16,6.91,11.37,14.37,1.01
1660924800,1,297.07,7.26,22.96,7.6,8.58,6.83,8.42,0.34
1660928400,1,273.7,4.64,20.73,13.95,9.42,5.87,6.94,0.3
1660932000,1,273.7,4.19,21.08,23.25,10.37,5.86,6.79,0.3
1660935600,1,277.04,3.13,19.02,57.94,9.66,6.65,7.67,0.36
1660939200,1,273.7,0.95,15.94,70.1,7.39,6.4,7.48,0.43
1660942800,1,257.02,0.59,12.17,61.51,5.25,5.16,6.07,0.47
1660946400,1,243.66,0.37,10.71,44.7,3.22,3.58,4.18,0.51
1660950000,1,236.99,0.19,10.97,34.69,2.18,2.69,3.12,0.59
1660953600,1,233.65,0.06,10.45,36.48,2,2.49,2.92,0.6
1660957200,1,240.33,0.02,12.85,34.69,2.32,2.88,3.49,0.7
1660960800,1,250.34,0.01,15.59,25.03,2.89,3.27,4.07,0.77
1660964400,1,250.34,0.08,16.11,16.81,3.22,3.61,4.49,0.7
1660968000,1,253.68,0.4,16.45,9.75,3.34,4.04,4.98,0.56
1660971600,1,257.02,0.75,16.45,5.63,3.07,4.36,5.33,0.42
1660975200,1,247,0.5,14.39,5.23,2.65,4.44,5.39,0.29
1660978800,1,230.31,0.35,11.48,5.99,1.94,4.25,5.2,0.24
1660982400,1,216.96,0.32,9.25,6.26,1.53,3.89,4.83,0.23
1660986000,1,205.28,0.36,8.05,5.9,1.53,3.43,4.36,0.24
1660989600,1,201.94,0.64,8.14,4.34,1.56,3.12,4.1,0.25
1660993200,1,213.62,2.07,9.6,1.74,1.56,3.2,4.36,0.31
1660996800,1,273.7,11.18,11.31,0.12,1.64,3.94,5.59,0.64
1661000400,1,390.53,30.85,12.51,0.4,2.15,5.23,7.45,1.04
1661004000,1,460.62,41.57,13.54,1.81,2.98,6.15,8.73,1.04
1661007600,1,407.22,29.06,18.51,5.05,4.59,6.6,9.32,0.77
1661011200,1,240.33,3.41,15.77,27.54,6.97,6.66,9.32,0.14
1661014800,1,223.64,1.31,13.19,43.63,6.85,6.59,9.09,0.15
1661018400,1,220.3,0.56,12,55.07,6.56,6.25,8.48,0.22
1661022000,1,206.95,0.29,9.08,52.93,4.59,4.91,6.42,0.25
1661025600,1,198.6,0.27,7.11,45.78,3.13,3.54,4.37,0.28
1661029200,1,203.61,0.35,6.43,41.84,2.62,2.77,3.26,0.29
1661032800,1,216.96,0.45,6.94,37.55,2.29,2.38,2.78,0.34
1661036400,1,230.31,0.42,8.05,31.11,2.24,2.17,2.61,0.39
1661040000,1,233.65,0.22,8.23,26.46,2.24,2.2,2.74,0.41
1661043600,1,236.99,0.06,9.77,22.17,2.89,2.67,3.46,0.46
1661047200,1,247,0.04,11.65,18.06,3.7,3.47,4.55,0.46
1661050800,1,247,0.07,12.17,16.45,3.73,4.52,5.76,0.36
1661054400,1,250.34,0.11,13.02,14.84,3.55,5.5,6.77,0.28
1661058000,1,250.34,0.12,12.85,13.05,3.04,5.64,6.74,0.23
1661061600,1,247,0.1,11.14,12.16,2.5,5.28,6.2,0.2
1661065200,1,236.99,0.07,8.57,12.52,1.85,4.67,5.5,0.2
1661068800,1,226.97,0.06,6.51,13.59,1.48,4.06,4.91,0.21
1661072400,1,220.3,0.06,5.48,13.95,1.42,3.55,4.58,0.23
1661076000,1,220.3,0.07,5.4,13.95,1.42,2.98,4.27,0.24
1661079600,1,226.97,0.09,6.25,14.13,1.43,2.5,3.96,0.26
1661083200,1,236.99,0.2,9.85,13.41,1.62,2.93,4.35,0.36
1661086800,1,257.02,0.56,15.08,11.27,2.03,4.87,5.97,0.44
1661090400,1,267.03,1.87,16.45,12.16,2.38,7.51,8.35,0.47
1661094000,1,263.69,2.79,14.05,22.35,2.86,9.88,10.63,0.38
1661097600,2,226.97,0.75,9.25,42.92,3.01,12.21,12.79,0.01
1661101200,2,216.96,0.3,7.2,47.92,2.44,13.21,13.69,0
1661104800,2,211.95,0.23,6.25,49.35,2.03,13.39,13.81,0
1661108400,2,203.61,0.14,5.57,48.64,1.82,12.29,12.68,0
1661112000,1,195.26,0.12,4.84,44.35,1.65,9.55,10.02,0
1661115600,1,191.93,0.15,4.37,41.48,1.61,8.44,9.13,0
1661119200,1,190.26,0.19,4.88,40.77,1.56,9.33,10.49,0
1661122800,2,191.93,0.13,6.34,38.98,1.79,11.32,13.52,0
1661126400,2,190.26,0.04,6.77,38.62,1.97,13.39,17.05,0
1661130000,2,198.6,0.01,9.94,34.33,2.32,14.21,18.33,0
1661133600,2,216.96,0.02,13.88,25.39,2.47,14.16,18.3,0
1661137200,2,230.31,0.08,16.28,18.42,2.32,14.15,18.34,0
1661140800,2,236.99,0.18,17.48,13.59,2.35,13.8,17.97,0.01
1661144400,2,226.97,0.12,15.25,13.41,2.59,12.74,16.39,0.04
1661148000,2,211.95,0.07,12.51,15.02,3.04,11.07,13.77,0.06
1661151600,1,198.6,0.05,10.28,16.09,3.22,9.47,11.32,0.09
1661155200,1,191.93,0.06,9.17,14.66,3.1,8.46,9.93,0.11
1661158800,1,190.26,0.08,8.83,13.23,3.22,8,9.52,0.11
1661162400,1,191.93,0.12,9,11.98,3.1,8.05,10.08,0.13
1661166000,1,198.6,0.19,9.42,11.18,2.65,8.39,11.35,0.17
1661169600,1,223.64,0.68,13.54,7.96,2.44,8.85,12.42,0.34
1661173200,1,260.35,2.1,19.36,4.2,2.92,9.2,12.3,0.49
1661176800,1,280.38,3.13,21.42,3.71,3.7,9.41,11.79,0.55
1661180400,1,267.03,2.32,19.36,8.4,5.72,9.45,11.43,0.49
1661184000,1,226.97,1.02,14.57,20.21,8.7,9.5,11.56,0.22
1661187600,1,216.96,0.82,12.51,25.03,8.34,8.73,10.65,0.25
1661191200,1,216.96,0.89,10.71,31.47,7.39,7.35,8.91,0.28
1661194800,1,220.3,0.29,10.37,33.97,6.68,5.74,6.97,0.31
1661198400,1,223.64,0.09,11.82,30.4,7.33,4.61,5.6,0.36
1661202000,1,233.65,0.05,13.88,26.11,8.23,4.23,5.1,0.37
1661205600,1,270.37,0.37,21.42,13.95,7.15,4.23,5.09,0.55
1661209200,1,333.79,3.49,28.45,2.79,6.08,4.59,5.61,0.75
1661212800,1,373.84,8.94,28.79,0.44,6.5,5.17,6.45,0.79
1661216400,1,380.52,11.06,28.79,0.56,7.21,5.91,7.55,0.7
1661220000,1,353.81,7.26,26.39,0.32,5.13,5.9,8.2,0.55
1661223600,1,293.73,1.45,18.68,5.41,2.98,5.48,8.93,0.43
1661227200,1,236.99,0.07,10.37,17.34,3.81,5.7,10.59,0.32
1661230800,1,226.97,0.04,9.6,18.95,3.93,5.77,11.01,0.29
1661234400,1,223.64,0.03,9.34,18.42,3.81,5.57,10.63,0.26
1661238000,1,216.96,0.03,9,17.52,3.73,5.23,9.21,0.23
1661241600,1,216.96,0.05,9.51,15.38,3.87,5.04,7.87,0.23
1661245200,1,220.3,0.09,11.31,12.16,4.29,5.09,7.29,0.28
1661248800,1,223.64,0.22,13.19,8.31,4.41,5.04,6.74,0.32
1661252400,1,233.65,0.83,14.74,3.89,4.23,4.87,6.23,0.36
1661256000,1,267.03,4.81,15.94,0.68,4.11,4.91,6.12,0.54
1661259600,1,327.11,13.19,16.62,0.23,4.17,5.08,6.24,0.8
1661263200,1,347.14,16.32,16.28,1.92,4.23,4.83,5.86,0.85
1661266800,1,317.1,12.07,13.71,7.69,3.99,4.14,4.97,0.74
1661270400,1,270.37,4.53,12.17,16.81,3.46,3.23,3.83,0.58
1661274000,1,247,2.32,10.54,25.39,3.01,2.65,3.13,0.53
1661277600,1,230.31,1.33,8.31,34.69,2.41,2.12,2.48,0.51
1661281200,1,210.29,0.52,6.08,35.05,1.56,1.44,1.68,0.43
1661284800,1,205.28,0.42,5.65,32.54,1.43,1.23,1.45,0.44
1661288400,1,205.28,0.36,6.08,31.47,1.73,1.35,1.57,0.47
1661292000,1,240.33,0.82,13.71,23.96,2.74,1.86,2.24,0.77
1661295600,1,283.72,1.54,22.28,14.66,3.93,2.66,3.26,1.11
1661299200,1,300.41,1.59,27.08,9.12,5.19,3.64,4.53,1.28
1661302800,1,307.08,1.13,29.82,6.08,6.14,4.73,5.81,1.14
1661306400,1,293.73,0.55,26.05,7.42,5.9,5.52,6.53,0.77
1661310000,1,277.04,0.3,21.59,9.66,5.66,5.99,6.84,0.51
1661313600,1,263.69,0.3,18.51,9.48,5.48,6.38,7.12,0.36
1661317200,1,250.34,0.32,17.14,7.96,5.13,6.59,7.27,0.24
1661320800,1,233.65,0.25,14.74,7.33,4.71,6.45,7.08,0.17
1661324400,1,211.95,0.19,12,7.78,4.17,6.09,6.77,0.13
1661328000,1,198.6,0.17,10.11,8.05,3.73,5.83,6.81,0.13
1661331600,1,191.93,0.18,9.42,7.87,3.4,5.86,7.42,0.13
1661335200,1,191.93,0.25,9.42,7.24,3.16,6.01,8.17,0.16
1661338800,1,196.93,0.57,10.28,5.14,2.86,5.96,8.29,0.24
1661342400,1,226.97,3.35,12.68,1.37,2.62,5.81,8.1,0.46
1661346000,1,283.72,11.73,13.19,0.43,2.53,5.73,7.86,0.73
1661349600,1,323.77,17.21,13.02,1.56,2.8,5.6,7.41,0.85
1661353200,1,317.1,13.86,15.08,2.03,3.43,5.3,6.67,0.83
1661356800,1,263.69,3.74,17.31,4.96,3.55,3.95,4.73,0.65
1661360400,1,247,1.75,16.11,9.57,3.43,2.99,3.53,0.59
1661364000,1,247,1.09,15.42,13.05,3.22,2.35,2.79,0.59
1661367600,1,247,0.79,14.39,16.99,3.04,1.97,2.39,0.61
1661371200,1,250.34,0.62,14.05,22.53,3.31,1.99,2.41,0.64
1661374800,1,257.02,0.57,14.22,28.61,3.7,2.25,2.67,0.68
1661378400,1,273.7,0.53,16.45,33.97,4.17,2.77,3.22,0.74
1661382000,1,300.41,0.36,22.28,33.26,4.95,3.55,4.1,0.86
1661385600,1,323.77,0.1,28.45,28.97,6.08,4.39,5.06,0.92
1661389200,2,400.54,1.41,46.61,9.57,7.15,6.39,7.59,0.96
1661392800,2,487.33,9.83,54.15,0.11,6.74,9.08,10.98,1.04
1661396400,2,554.08,19.45,51.41,0,5.72,11.27,13.85,1.33
1661400000,2,627.52,31.74,47.3,0,5.07,13.42,16.79,1.93
1661403600,2,680.92,43.81,40.78,0,4.29,14.81,18.36,2.31
1661407200,2,667.57,44.7,35.99,0,3.76,14.88,17.76,2.31
1661410800,2,614.17,37.1,32.56,0,3.4,14.29,16.48,2.09
1661414400,2,540.73,29.5,26.73,0,2.89,13.64,15.32,1.57
1661418000,2,473.98,23.92,20.22,0,2.38,12.98,14.34,1.01
1661421600,2,387.19,14.53,17.14,0.01,2.03,11.48,12.51,0.57
1661425200,2,330.45,10.95,14.05,0.01,1.94,11.09,11.99,0.42
1661428800,2,330.45,14.75,13.02,0,2.35,12.25,13.25,0.56
1661432400,2,323.77,15.65,14.22,0.57,3.81,12.85,13.93,0.65
1661436000,2,330.45,12.74,19.88,7.33,3.76,12.14,13.43,0.8
1661439600,2,323.77,4.58,25.7,38.27,3.37,10.82,12.22,0.93
1661443200,1,260.35,0.89,11.31,70.1,3.22,7.51,8.49,0.63
1661446800,2,243.66,0.52,5.91,88.69,2.86,6.16,6.84,0.42
1661450400,2,240.33,0.42,4.07,100.14,2.44,4.86,5.41,0.35
1661454000,2,233.65,0.39,3.38,100.14,2.03,3.68,4.12,0.34
1661457600,2,230.31,0.42,3.47,97.27,1.94,3.08,3.46,0.36
1661461200,2,230.31,0.45,3.86,100.14,2,3.08,3.46,0.39
1661464800,2,243.66,0.63,5.91,107.29,2.29,3.49,3.92,0.51
1661468400,3,267.03,0.78,10.02,121.59,3.16,4.6,5.16,0.72
1661472000,3,290.39,0.58,15.42,125.89,5.72,5.95,6.71,0.82
1661475600,2,357.15,0.11,29.47,94.41,7.99,8.32,9.7,1.04
1661479200,2,423.91,0,40.1,57.94,8.11,10.89,12.9,1.12
1661482800,2,467.3,0,46.61,38.62,7.99,13.31,15.76,1.16
1661486400,2,514.03,0.08,54.84,22.17,7.39,15.79,18.64,1.2
1661490000,2,554.08,0.63,56.21,8.05,5.78,17.32,20.38,0.98
1661493600,2,560.76,1.09,49.35,3.49,4.35,18.34,21.39,0.69
1661497200,2,534.06,0.74,39.76,4.29,3.46,18.96,21.87,0.5
1661500800,2,507.35,0.41,31.53,6.26,2.98,19.66,22.22,0.45
1661504400,3,473.98,0.31,25.7,7.33,2.77,20.7,22.85,0.44
1661508000,3,447.27,0.34,22.96,7.78,2.83,21.61,23.46,0.44
1661511600,3,440.6,0.73,24.33,5.99,3.16,22.17,23.83,0.48
1661515200,3,480.65,3.58,32.22,1.88,4.17,23.03,24.76,0.78
1661518800,3,514.03,5.2,42.84,1.42,7.21,24.54,26.34,0.87
1661522400,4,554.08,8.94,47.98,3.44,8.94,25.73,27.8,0.85
1661526000,4,547.41,7.93,50.04,13.23,9.54,25.17,27.3,0.75
1661529600,3,413.89,1.98,30.16,70.81,10.37,21.15,22.71,0.07
1661533200,3,353.81,0.89,14.91,125.89,8.11,18.79,19.99,0.03
1661536800,3,320.43,0.49,7.45,154.5,6.26,15.56,16.49,0.12
1661540400,3,303.75,0.37,5.65,155.93,5.13,12.65,13.4,0.23
1661544000,3,307.08,0.29,6.6,157.36,6.44,12.28,13,0.25
1661547600,3,320.43,0.19,9,173.09,10.61,14.87,15.59,0.11
1661551200,4,357.15,0.28,13.88,200.27,15.14,21.24,22,0
1661554800,4,417.23,0.46,18.51,231.74,17.17,31.09,32.02,0
1661558400,4,453.95,0.32,20.73,234.6,15.74,39.02,40.16,0
1661562000,4,494,0.04,29.47,168.8,11.21,40.59,42.21,0.41
1661565600,4,534.06,0,36.33,90.12,6.62,37.61,39.82,0.85
1661569200,4,527.38,0,38.39,42.92,4.23,32.04,34.63,0.86
1661572800,3,480.65,0.12,36.67,18.95,3.07,24.01,26.58,0.72
1661576400,2,410.56,0.28,29.47,11.09,2.15,15.71,17.82,0.5
